title,stars,text,bin_pelayanan,bin_fasilitas,predicted_labels_1,sentiment,prob_layanan,prob_fasilitas
RS Brayat Minulya,5,telah dirawat di sini selama beberapa hari di Maria 3 Ward selama waktu itu staf baik medis dan non medis begitu baik dan membantu ruangan juga bersih juga terima kasih banyak telah membantu saya menjadi lebih baik beberapa hari terakhir berharap kalian akan menjaga kerja yang baik dengan baik,1,1,"['pelayanan', 'fasilitas']",positive,0.9969499707221984,0.989263117313385
RS Brayat Minulya,5,bersih dan rapi petugas peeawatdokter ditanya tanya enak jawabnya dan sangat ramah,1,1,"['pelayanan', 'fasilitas']",positive,0.997083842754364,0.988735854625702
RS Brayat Minulya,5,terimakasih atas pelayanan dan perawatan ibu sayatak lupa semua perawat suster ruang yosep sdh sabar dan pelayannyasiip jaga terus kredibilitas pelayan yg lbh baik,1,0,['pelayanan'],positive,0.9972482323646544,0.0047851218841969
RS Brayat Minulya,5,pelayanan diruang yosef bagus perawat ramah ramah sopan,1,0,['pelayanan'],positive,0.9986697435379028,0.0124622760340571
RS Brayat Minulya,5,tempatnya bagusrapi nyaman sekali ruangan nya terimakasih rs brayat minulnya berkat suster yang baik dan sabar ayah saya jadi sembuh,1,1,"['pelayanan', 'fasilitas']",positive,0.9948122501373292,0.9918585419654846
RS Brayat Minulya,5,mantap pelayanan maximal terimakasih banyak untuk ruang maria yg telah merawat ku dengan sepenuh hati senantiasa cinta kasih tuhan melingkupi kita semua amin,1,0,['pelayanan'],positive,0.999105989933014,0.4200862348079681
RS Brayat Minulya,5,perawat ruang maria ramah pelayanan baik dan responsif bravo,1,0,['pelayanan'],positive,0.9976809024810792,0.0055939182639122
RS Brayat Minulya,5,ruang yosep perawatannya baikrespon cepatramah trimakasih sudah di rawat,1,1,"['pelayanan', 'fasilitas']",positive,0.9934833645820618,0.993474304676056
RS Brayat Minulya,5,ruang yoseph pelayanan bagus ramah dan responnya cepat terima kasih rs brayat m,1,1,"['pelayanan', 'fasilitas']",positive,0.9992594122886658,0.6373617053031921
RS Brayat Minulya,5,berobat di rs brayat pelayanan memuaskan ramah,1,0,['pelayanan'],positive,0.9951980710029602,0.0031649500597268
RS Brayat Minulya,5,pelayanan yg baikjadwal oprasi pun cepatkebersihan yg baik,1,0,['pelayanan'],positive,0.9981104135513306,0.008346663787961
RS Brayat Minulya,5,waktu saya asma dibawa ke igd dan sangatt kewren pelayanannya baik dokter maupun perawatnya,1,0,['pelayanan'],neutral,0.995349109172821,0.0034176490735262
RS Brayat Minulya,5,ruang theresia 101b an gabriela pelayanan baik perawat tanggap dan ramah rs brayat semakin maju dan berkembang,1,1,"['pelayanan', 'fasilitas']",positive,0.995112121105194,0.986225724220276
RS Brayat Minulya,5,pelayanan baikdi ruang yosep,1,1,"['pelayanan', 'fasilitas']",positive,0.9988422989845276,0.8220804929733276
RS Brayat Minulya,5,kamar 101a pelayanan baik,1,1,"['pelayanan', 'fasilitas']",positive,0.9977920055389404,0.977414608001709
RS Brayat Minulya,5,puas dengan pelayanannya,1,0,['pelayanan'],positive,0.994139552116394,0.0028862908948212
